t (s)	U1(V)	U2(V)
4,220000	0,248861	-0,329394
4,230000	0,233086	-0,313618
4,240000	0,217312	-0,303101
4,250000	0,201537	-0,287325
4,260000	0,185763	-0,271549
4,270000	0,169988	-0,255774
4,280000	0,154214	-0,245257
4,290000	0,138439	-0,229481
4,300000	0,122665	-0,213705
4,310000	0,106890	-0,203188
4,320000	0,091116	-0,187412
4,330000	0,075342	-0,176895
4,340000	0,059567	-0,161120
4,350000	0,043793	-0,145344
4,360000	0,033276	-0,134827
4,370000	0,017502	-0,119051
4,380000	0,001727	-0,103275
4,390000	-0,014047	-0,098017
4,400000	-0,029822	-0,082241
4,410000	-0,035080	-0,071724
4,420000	-0,050854	-0,061207
4,430000	-0,066629	-0,045431
4,440000	-0,077145	-0,040173
4,450000	-0,092920	-0,029655
4,460000	-0,098178	-0,019138
4,470000	-0,108694	-0,008621
4,480000	-0,119210	0,001896
4,490000	-0,129727	0,012413
4,500000	-0,140243	0,022930
4,510000	-0,145501	0,033447
4,520000	-0,156018	0,043964
4,530000	-0,166534	0,043964
4,540000	-0,166534	0,054482
4,550000	-0,171792	0,054482
4,560000	-0,182308	0,059740
4,570000	-0,187567	0,059740
4,580000	-0,187567	0,064999
4,590000	-0,192825	0,070257
4,600000	-0,192825	0,070257
4,610000	-0,198083	0,070257
4,620000	-0,198083	0,070257
4,630000	-0,198083	0,075516
4,640000	-0,198083	0,070257
4,650000	-0,203341	0,070257
4,660000	-0,198083	0,064999
4,670000	-0,192825	0,064999
4,680000	-0,192825	0,064999
4,690000	-0,187567	0,059740
4,700000	-0,187567	0,054482
4,710000	-0,182308	0,049223
4,720000	-0,182308	0,038706
4,730000	-0,177050	0,033447
4,740000	-0,171792	0,028189
4,750000	-0,161276	0,022930
4,760000	-0,156018	0,012413
4,770000	-0,150759	0,007154
4,780000	-0,140243	-0,003363
4,790000	-0,134985	-0,008621
4,800000	-0,124469	-0,024397
4,810000	-0,113952	-0,034914
4,820000	-0,103436	-0,045431
4,830000	-0,092920	-0,055948
4,840000	-0,082403	-0,066465
4,850000	-0,066629	-0,082241
4,860000	-0,056113	-0,092758
4,870000	-0,040338	-0,103275
4,880000	-0,035080	-0,113792
4,890000	-0,019305	-0,129568
4,900000	-0,003531	-0,140085
4,910000	0,012244	-0,155861
4,920000	0,028018	-0,171637
4,930000	0,038534	-0,187412
4,940000	0,054309	-0,203188
4,950000	0,070083	-0,218964
4,960000	0,085858	-0,234739
4,970000	0,101632	-0,250515
4,980000	0,117407	-0,261032
4,990000	0,133181	-0,276808
5,000000	0,154214	-0,287325
5,010000	0,164730	-0,308359
5,020000	0,185763	-0,318876
5,030000	0,201537	-0,334652
5,040000	0,217312	-0,350428
5,050000	0,233086	-0,366203
5,060000	0,248861	-0,381979
5,070000	0,269894	-0,397755
5,080000	0,285668	-0,413531
5,090000	0,301442	-0,424048
5,100000	0,317217	-0,439823
5,110000	0,332991	-0,450340
5,120000	0,354024	-0,466116
5,130000	0,369799	-0,476633
5,140000	0,385573	-0,492409
5,150000	0,401348	-0,508185
5,160000	0,417122	-0,523960
5,170000	0,432897	-0,534477
5,180000	0,443413	-0,550253
5,190000	0,464445	-0,566029
5,200000	0,474962	-0,581805
5,210000	0,490736	-0,592322
5,220000	0,501253	-0,602839
5,230000	0,517027	-0,618614
5,240000	0,527543	-0,629132
5,250000	0,538060	-0,639649
5,260000	0,548576	-0,655424
5,270000	0,559092	-0,660683
5,280000	0,574867	-0,676459
5,290000	0,580125	-0,681717
5,300000	0,590641	-0,692234
5,310000	0,601158	-0,702751
5,320000	0,606416	-0,713269
5,330000	0,616932	-0,718527
5,340000	0,627448	-0,723786
5,350000	0,632707	-0,734303
5,360000	0,637965	-0,739561
5,370000	0,648481	-0,744820
5,380000	0,653739	-0,744820
5,390000	0,653739	-0,744820
5,400000	0,658997	-0,750079
5,410000	0,664256	-0,750079
5,420000	0,664256	-0,750079
5,430000	0,669514	-0,750079
5,440000	0,669514	-0,750079
5,450000	0,674772	-0,750079
5,460000	0,669514	-0,750079
5,470000	0,674772	-0,744820
5,480000	0,669514	-0,739561
5,490000	0,669514	-0,734303
5,500000	0,664256	-0,734303
5,510000	0,664256	-0,729044
5,520000	0,653739	-0,723786
5,530000	0,653739	-0,718527
5,540000	0,648481	-0,713269
5,550000	0,643223	-0,708010
5,560000	0,637965	-0,702751
5,570000	0,632707	-0,697493
5,580000	0,622190	-0,686976
5,590000	0,616932	-0,681717
5,600000	0,606416	-0,671200
5,610000	0,601158	-0,660683
5,620000	0,590641	-0,650166
5,630000	0,580125	-0,639649
5,640000	0,569609	-0,629132
5,650000	0,559092	-0,618614
5,660000	0,543318	-0,608097
5,670000	0,532802	-0,592322
5,680000	0,522285	-0,587063
5,690000	0,511769	-0,571287
5,700000	0,490736	-0,555512
5,710000	0,480220	-0,539736
5,720000	0,464445	-0,529219
5,730000	0,453929	-0,513443
5,740000	0,443413	-0,497668
5,750000	0,427638	-0,481892
5,760000	0,411864	-0,471375
5,770000	0,396089	-0,455599
5,780000	0,375057	-0,439823
5,790000	0,364540	-0,424048
5,800000	0,343508	-0,413531
5,810000	0,327733	-0,397755
5,820000	0,311959	-0,376721
5,830000	0,296184	-0,360945
5,840000	0,280410	-0,345169
5,850000	0,264635	-0,329394
5,860000	0,248861	-0,313618
5,870000	0,233086	-0,297842
5,880000	0,217312	-0,282066
5,890000	0,201537	-0,261032
5,900000	0,185763	-0,245257
5,910000	0,169988	-0,229481
5,920000	0,154214	-0,213705
5,930000	0,138439	-0,203188
5,940000	0,122665	-0,187412
5,950000	0,106890	-0,171637
5,960000	0,091116	-0,155861
5,970000	0,070083	-0,145344
5,980000	0,059567	-0,129568
5,990000	0,043793	-0,113792
6,000000	0,028018	-0,098017
6,010000	0,012244	-0,087500
6,020000	-0,008789	-0,076983
6,030000	-0,019305	-0,066465
6,040000	-0,029822	-0,050690
6,050000	-0,040338	-0,034914
6,060000	-0,050854	-0,024397
6,070000	-0,066629	-0,013880
6,080000	-0,077145	0,001896
6,090000	-0,087661	0,007154
6,100000	-0,098178	0,017672
6,110000	-0,108694	0,028189
6,120000	-0,119210	0,038706
6,130000	-0,129727	0,043964
6,140000	-0,134985	0,054482
6,150000	-0,140243	0,059740
6,160000	-0,150759	0,064999
6,170000	-0,156018	0,070257
6,180000	-0,161276	0,075516
6,190000	-0,171792	0,080774
6,200000	-0,177050	0,086033
6,210000	-0,177050	0,086033
6,220000	-0,182308	0,091291
6,230000	-0,187567	0,086033
6,240000	-0,187567	0,091291
6,250000	-0,192825	0,091291
6,260000	-0,192825	0,091291
6,270000	-0,192825	0,091291
6,280000	-0,192825	0,086033
6,290000	-0,187567	0,091291
6,300000	-0,192825	0,086033
6,310000	-0,192825	0,086033
6,320000	-0,187567	0,080774
6,330000	-0,182308	0,075516
6,340000	-0,182308	0,070257
6,350000	-0,177050	0,064999
6,360000	-0,171792	0,059740
6,370000	-0,166534	0,054482
6,380000	-0,156018	0,049223
6,390000	-0,150759	0,038706
6,400000	-0,140243	0,028189
6,410000	-0,134985	0,022930
6,420000	-0,124469	0,012413
6,430000	-0,113952	-0,003363
6,440000	-0,103436	-0,019138
6,450000	-0,092920	-0,029655
6,460000	-0,082403	-0,040173
6,470000	-0,071887	-0,050690
6,480000	-0,061371	-0,061207
6,490000	-0,050854	-0,076983
6,500000	-0,040338	-0,092758
6,510000	-0,024564	-0,108534
6,520000	-0,014047	-0,119051
6,530000	0,001727	-0,134827
6,540000	0,017502	-0,150602
6,550000	0,033276	-0,161120
6,560000	0,043793	-0,182154
6,570000	0,059567	-0,197929
6,580000	0,075342	-0,213705
6,590000	0,091116	-0,224222
6,600000	0,106890	-0,239998
6,610000	0,117407	-0,261032
6,620000	0,133181	-0,271549
6,630000	0,148956	-0,292584
6,640000	0,164730	-0,303101
6,650000	0,185763	-0,318876
6,660000	0,201537	-0,339911
6,670000	0,217312	-0,355686
6,680000	0,233086	-0,371462
6,690000	0,248861	-0,387238
6,700000	0,264635	-0,403013
6,710000	0,280410	-0,418789
6,720000	0,296184	-0,439823
6,730000	0,311959	-0,455599
6,740000	0,322475	-0,471375
6,750000	0,343508	-0,487150
6,760000	0,359282	-0,502926
6,770000	0,375057	-0,518702
6,780000	0,385573	-0,529219
6,790000	0,401348	-0,544995
6,800000	0,411864	-0,560770
6,810000	0,427638	-0,566029
6,820000	0,443413	-0,581805
6,830000	0,459187	-0,592322
6,840000	0,474962	-0,608097
6,850000	0,485478	-0,618614
6,860000	0,501253	-0,629132
6,870000	0,511769	-0,644907
6,880000	0,522285	-0,655424
6,890000	0,532802	-0,660683
6,900000	0,548576	-0,671200
6,910000	0,553834	-0,681717
6,920000	0,569609	-0,686976
6,930000	0,574867	-0,692234
6,940000	0,585383	-0,697493
6,950000	0,595900	-0,708010
6,960000	0,601158	-0,713269
6,970000	0,616932	-0,718527
6,980000	0,616932	-0,723786
6,990000	0,622190	-0,734303
7,000000	0,632707	-0,739561
7,010000	0,637965	-0,739561
7,020000	0,637965	-0,744820
7,030000	0,643223	-0,744820
7,040000	0,648481	-0,750079
7,050000	0,648481	-0,750079
7,060000	0,653739	-0,750079
7,070000	0,653739	-0,755337
7,080000	0,653739	-0,755337
7,090000	0,653739	-0,755337
7,100000	0,653739	-0,750079
7,110000	0,653739	-0,750079
7,120000	0,648481	-0,750079
7,130000	0,648481	-0,744820
7,140000	0,648481	-0,739561
7,150000	0,643223	-0,734303
7,160000	0,637965	-0,729044
7,170000	0,632707	-0,729044
7,180000	0,632707	-0,718527
7,190000	0,627448	-0,713269
7,200000	0,616932	-0,708010
7,210000	0,611674	-0,697493
7,220000	0,606416	-0,692234
7,230000	0,595900	-0,681717
7,240000	0,590641	-0,671200
7,250000	0,580125	-0,660683
7,260000	0,574867	-0,655424
7,270000	0,564351	-0,639649
7,280000	0,553834	-0,634390
7,290000	0,543318	-0,618614
7,300000	0,527543	-0,608097
7,310000	0,517027	-0,597580
7,320000	0,506511	-0,581805
7,330000	0,495994	-0,571287
7,340000	0,480220	-0,555512
7,350000	0,464445	-0,544995
7,360000	0,453929	-0,529219
7,370000	0,438155	-0,518702
7,380000	0,422380	-0,497668
7,390000	0,411864	-0,481892
7,400000	0,396089	-0,466116
7,410000	0,380315	-0,450340
7,420000	0,359282	-0,434565
7,430000	0,348766	-0,418789
7,440000	0,332991	-0,403013
7,450000	0,311959	-0,387238
7,460000	0,301442	-0,371462
