t (s)	U1(V)	U2(V)
2,360000	0,942938	-0,487150
2,370000	0,942938	-0,471375
2,380000	0,942938	-0,460858
2,390000	0,937680	-0,445082
2,400000	0,932422	-0,434565
2,410000	0,932422	-0,424048
2,420000	0,927164	-0,408272
2,430000	0,916647	-0,397755
2,440000	0,911389	-0,381979
2,450000	0,900873	-0,371462
2,460000	0,895615	-0,355686
2,470000	0,885098	-0,345169
2,480000	0,874582	-0,329394
2,490000	0,864066	-0,313618
2,500000	0,848291	-0,297842
2,510000	0,837775	-0,282066
2,520000	0,827259	-0,266291
2,530000	0,811484	-0,255774
2,540000	0,795710	-0,245257
2,550000	0,774677	-0,229481
2,560000	0,758903	-0,218964
2,570000	0,743128	-0,203188
2,580000	0,722095	-0,187412
2,590000	0,706321	-0,176895
2,600000	0,685288	-0,161120
2,610000	0,664256	-0,145344
2,620000	0,643223	-0,134827
2,630000	0,622190	-0,119051
2,640000	0,601158	-0,108534
2,650000	0,574867	-0,092758
2,660000	0,553834	-0,082241
2,670000	0,527543	-0,071724
2,680000	0,506511	-0,055948
2,690000	0,485478	-0,045431
2,700000	0,459187	-0,034914
2,710000	0,432897	-0,019138
2,720000	0,411864	-0,008621
2,730000	0,385573	0,007154
2,740000	0,359282	0,017672
2,750000	0,332991	0,028189
2,760000	0,306701	0,033447
2,770000	0,280410	0,043964
2,780000	0,259377	0,049223
2,790000	0,227828	0,059740
2,800000	0,201537	0,064999
2,810000	0,175247	0,080774
2,820000	0,148956	0,080774
2,830000	0,127923	0,086033
2,840000	0,096374	0,096550
2,850000	0,070083	0,101809
2,860000	0,049051	0,107067
2,870000	0,022760	0,117584
2,880000	-0,008789	0,117584
2,890000	-0,035080	0,122843
2,900000	-0,056113	0,128101
2,910000	-0,082403	0,128101
2,920000	-0,103436	0,133360
2,930000	-0,129727	0,133360
2,940000	-0,150759	0,133360
2,950000	-0,171792	0,133360
2,960000	-0,192825	0,133360
2,970000	-0,213857	0,138619
2,980000	-0,234890	0,143877
2,990000	-0,255923	0,138619
3,000000	-0,271697	0,138619
3,010000	-0,292730	0,133360
3,020000	-0,313762	0,133360
3,030000	-0,329537	0,122843
3,040000	-0,345311	0,122843
3,050000	-0,361086	0,112326
3,060000	-0,376860	0,107067
3,070000	-0,392635	0,101809
3,080000	-0,408409	0,096550
3,090000	-0,418926	0,091291
3,100000	-0,434700	0,080774
3,110000	-0,450475	0,075516
3,120000	-0,455733	0,070257
3,130000	-0,466249	0,054482
3,140000	-0,476765	0,049223
